streamName,Site,siteID,Season,minvisitTime,maxvisitTime,SalmonRun,RunID,Issues,RandNo,Run Number
American River,American River at Watt Avenue,57000,2012-2013,1/16/2013,6/8/2013,Spring,1,,0.629654477,1
American River,American River at Watt Avenue,57000,2013-2014,12/31/2013,5/30/2014,Spring,1,,0.259615685,2
Feather River,Eye riffle,3000,1997-1998,12/15/1997,7/8/1998,Spring,1,Your criteria returned no releases.,0.269849643,
Feather River,Eye riffle,3000,1998-1999,12/3/1998,8/5/1999,Spring,1,,0.978274654,3
Feather River,Eye riffle,3000,1999-2000,8/5/1999,8/4/2000,Spring,1,,0.738788871,4
Feather River,Eye riffle,3000,2000-2001,7/25/2000,6/28/2001,Spring,1,,0.057671572,5
Feather River,Eye riffle,3000,2001-2002,11/19/2001,6/21/2002,Spring,1,,0.714860987,6
Feather River,Eye riffle,3000,2002-2003,11/27/2002,6/30/2003,Spring,1,,0.537532107,7
Feather River,Eye riffle,3000,2003-2004,12/1/2003,6/19/2004,Spring,1,,0.064610014,8
Feather River,Eye riffle,3000,2004-2005,11/3/2004,6/5/2005,Spring,1,,0.197495551,9
Feather River,Eye riffle,3000,2005-2006,11/10/2005,4/28/2006,Spring,1,,0.075957302,10
Feather River,Gateway Riffle,52000,2012-2013,12/13/2012,6/7/2013,Spring,1,,0.05597823,11
Feather River,Gateway Riffle,52000,2013-2014,12/3/2013,5/1/2014,Spring,1,,0.07899981,12
Feather River,Herringer Riffle,5000,2001-2002,1/9/2002,6/21/2002,Spring,1,,0.600779037,13
Feather River,Herringer Riffle,5000,2002-2003,11/26/2002,6/9/2003,Spring,1,,0.258157959,14
Feather River,Herringer Riffle,5000,2003-2004,12/3/2003,6/15/2004,Spring,1,,0.552666463,15
Feather River,Herringer Riffle,5000,2004-2005,11/2/2004,6/13/2005,Spring,1,,0.721608377,16
Feather River,Herringer Riffle,5000,2005-2006,11/10/2005,6/22/2006,Spring,1,,0.301692801,17
Feather River,Herringer Riffle,5000,2007-2008,1/1/2008,6/11/2008,Spring,1,,0.826244352,18
Feather River,Herringer Riffle,5000,2009-2010,11/23/2009,12/10/2009,Spring,1,No observed catches meet valid criteria.,0.791356404,
Feather River,Herringer Riffle,5000,2011-2012,11/29/2011,5/25/2012,Spring,1,,0.114546524,19
Feather River,Herringer Riffle,5000,2012-2013,11/26/2012,6/7/2013,Spring,1,,0.477001127,20
Feather River,Herringer Riffle,5000,2013-2014,12/19/2013,5/28/2014,Spring,1,,0.842854738,21
Feather River,Live Oak,4000,1997-1998,12/15/1997,7/8/1998,Spring,1,Your criteria returned no releases.,0.729141856,
Feather River,Live Oak,4000,1998-1999,12/9/1998,8/5/1999,Spring,1,,0.391431959,22
Feather River,Live Oak,4000,1999-2000,8/5/1999,8/4/2000,Spring,1,,0.449323565,23
Feather River,Live Oak,4000,2000-2001,7/25/2000,6/28/2001,Spring,1,"TotalSampleMinutes == 0 for trapVisitID == 1377.  This leads to an -Inf when taking the log for the offset in program catch_model, line 60.",0.883117302,
Feather River,Live Oak,4000,2001-2002,11/19/2001,1/21/2002,Spring,1,Your criteria returned no releases.,0.43898308,
Feather River,Shawn's Beach,7000,2008-2009,11/19/2008,1/13/2009,Spring,1,Your criteria returned no releases.,0.602049714,
Feather River,Steep Riffle,2000,2005-2006,5/1/2006,6/3/2006,Spring,1,Your criteria returned no releases.,0.928021033,
Feather River,Steep Riffle,2000,2006-2007,12/12/2006,5/27/2007,Spring,1,,0.211955568,24
Feather River,Steep Riffle,2000,2007-2008,10/29/2007,7/17/2008,Spring,1,,0.252659827,25
Feather River,Steep Riffle,2000,2008-2009,10/29/2008,8/6/2009,Spring,1,,0.536941173,26
Feather River,Steep Riffle,2000,2009-2010,7/27/2009,6/8/2010,Spring,1,,0.181520146,27
Feather River,Steep Riffle,2000,2010-2011,11/8/2010,6/2/2011,Spring,1,,0.644911177,28
Feather River,Steep Riffle,2000,2011-2012,11/27/2011,6/20/2012,Spring,1,,0.972361749,29
Feather River,Steep Riffle,2000,2012-2013,11/27/2012,12/18/2012,Spring,1,Your criteria returned no releases.,0.198254043,
Feather River,Sunset Pumps,6000,2006-2007,12/29/2006,8/7/2007,Spring,1,,0.099775909,30
Feather River,Sunset Pumps,6000,2007-2008,7/25/2007,1/20/2008,Spring,1,Your criteria returned no releases.,0.049351413,
Feather River,Sunset Pumps,6000,2008-2009,12/24/2008,8/6/2009,Spring,1,,0.053011745,31
Feather River,Sunset Pumps,6000,2009-2010,7/27/2009,6/3/2010,Spring,1,,0.400538553,32
Feather River,Sunset Pumps,6000,2010-2011,12/7/2010,6/2/2011,Spring,1,,0.719572985,33
Sacramento River,RBDD RST,42000,1993-1994,12/1/1993,11/30/1994,Spring,1,Your criteria returned no releases.,0.543973297,
Sacramento River,RBDD RST,42000,1994-1995,12/1/1994,11/30/1995,Spring,1,Your criteria returned no releases.,0.118328088,
Sacramento River,RBDD RST,42000,1995-1996,12/1/1995,11/30/1996,Spring,1,Your criteria returned no releases.,0.162706961,
Sacramento River,RBDD RST,42000,1996-1997,12/1/1996,11/30/1997,Spring,1,Your criteria returned no releases.,0.818921686,
Sacramento River,RBDD RST,42000,1997-1998,12/1/1997,11/30/1998,Spring,1,,0.648707174,34
Sacramento River,RBDD RST,42000,1998-1999,12/1/1998,11/30/1999,Spring,1,,0.291262209,35
Sacramento River,RBDD RST,42000,1999-2000,12/1/1999,11/30/2000,Spring,1,,0.840947136,36
Sacramento River,RBDD RST,42000,2001-2002,12/1/2001,11/30/2002,Spring,1,,0.815016399,37
Sacramento River,RBDD RST,42000,2002-2003,12/1/2002,11/30/2003,Spring,1,,0.4488529,38
Sacramento River,RBDD RST,42000,2003-2004,12/1/2003,11/30/2004,Spring,1,,0.721974185,39
Sacramento River,RBDD RST,42000,2004-2005,12/1/2004,11/30/2005,Spring,1,,0.659621952,40
Sacramento River,RBDD RST,42000,2005-2006,12/1/2005,11/30/2006,Spring,1,,0.961069521,41
Sacramento River,RBDD RST,42000,2006-2007,12/1/2006,11/30/2007,Spring,1,,0.205488697,42
Sacramento River,RBDD RST,42000,2007-2008,12/1/2007,11/30/2008,Spring,1,,0.275496981,43
Sacramento River,RBDD RST,42000,2008-2009,12/1/2008,11/30/2009,Spring,1,,0.588595987,44
Sacramento River,RBDD RST,42000,2009-2010,12/1/2009,11/30/2010,Spring,1,Your criteria returned no releases.,0.811195718,
Sacramento River,RBDD RST,42000,2010-2011,12/1/2010,11/30/2011,Spring,1,,0.154336209,45
Sacramento River,RBDD RST,42000,2011-2012,12/1/2011,11/30/2012,Spring,1,,0.746232031,46
Sacramento River,RBDD RST,42000,2012-2013,12/1/2012,11/30/2013,Spring,1,,0.222922961,47
Sacramento River,RBDD RST,42000,2013-2014,12/1/2013,11/30/2014,Spring,1,Your criteria returned no releases.,0.503286331,
Sacramento River,RBDD RST,42000,2014-2015,12/1/2014,11/30/2015,Spring,1,,,48
Stanislaus River,Caswell State Park,1000,1995-1996,1/29/1996,7/8/1996,Fall,3,,0.646238104,49
Stanislaus River,Caswell State Park,1000,1996-1997,3/11/1997,7/5/1997,Fall,3,,0.863994879,50
Stanislaus River,Caswell State Park,1000,1997-1998,12/31/1997,7/23/1998,Fall,3,,0.890639885,51
Stanislaus River,Caswell State Park,1000,1998-1999,1/10/1999,7/7/1999,Fall,3,,0.277510344,52
Stanislaus River,Caswell State Park,1000,1999-2000,12/7/1999,7/7/2000,Fall,3,,0.305308576,53
Stanislaus River,Caswell State Park,1000,2000-2001,12/14/2000,7/5/2001,Fall,3,,0.015784726,54
Stanislaus River,Caswell State Park,1000,2001-2002,1/8/2002,6/14/2002,Fall,3,,0.126417334,55
Stanislaus River,Caswell State Park,1000,2002-2003,1/10/2003,6/12/2003,Fall,3,,0.314122708,56
Stanislaus River,Caswell State Park,1000,2003-2004,1/2/2004,6/11/2004,Fall,3,,0.252993634,57
Stanislaus River,Caswell State Park,1000,2004-2005,12/28/2004,6/24/2005,Fall,3,,0.732856172,58
Stanislaus River,Caswell State Park,1000,2005-2006,2/28/2006,7/21/2006,Fall,3,,0.735533623,59
Stanislaus River,Caswell State Park,1000,2006-2007,1/3/2007,6/29/2007,Fall,3,,0.396060387,60
Stanislaus River,Caswell State Park,1000,2007-2008,1/15/2008,7/3/2008,Fall,3,,0.351570238,61
Stanislaus River,Caswell State Park,1000,2008-2009,1/6/2009,7/2/2009,Fall,3,,0.495316365,62
Stanislaus River,Caswell State Park,1000,2009-2010,1/4/2010,6/24/2010,Fall,3,,0.242530398,63
Stanislaus River,Caswell State Park,1000,2010-2011,12/6/2010,7/15/2011,Fall,3,,0.955707832,64
Stanislaus River,Caswell State Park,1000,2011-2012,12/19/2011,7/10/2012,Fall,3,,0.30854851,65
Stanislaus River,Caswell State Park,1000,2012-2013,12/10/2012,6/27/2013,Fall,3,,0.198060489,66
Stanislaus River,Caswell State Park,1000,2013-2014,12/14/2013,7/4/2014,Fall,3,,0.835912371,67
Mokelumne River,Golf RST Main Site,34000,2005-2006,11/1/2005,8/1/2006,Fall,3,,0.989359291,68
Mokelumne River,Golf RST Main Site,34000,2006-2007,11/1/2006,8/1/2007,Fall,3,,0.8871388,69
Mokelumne River,Golf RST Main Site,34000,2007-2008,11/1/2007,8/1/2008,Fall,3,,0.54261558,70
Mokelumne River,Golf RST Main Site,34000,2008-2009,11/1/2008,8/1/2009,Fall,3,,0.817371772,71
Mokelumne River,Golf RST Main Site,34000,2009-2010,11/1/2009,8/1/2010,Fall,3,,0.076993911,72
Mokelumne River,Golf RST Main Site,34000,2010-2011,11/1/2010,8/1/2011,Fall,3,,0.668354147,73
Mokelumne River,Golf RST Main Site,34000,2011-2012,11/1/2011,8/1/2012,Fall,3,,0.594084679,74
Mokelumne River,Golf RST Main Site,34000,2012-2013,11/1/2012,8/1/2013,Fall,3,,0.120238001,75
Mokelumne River,Golf RST Main Site,34000,2013-2014,11/1/2013,8/1/2014,Fall,3,,0.490565305,76
Battle Clear,Battle Clear Site,21000,1999-2000,12/1/1999,8/31/2000,Fall,3,,0.5,77
Battle Clear,Battle Clear Site,21000,2000-2001,12/1/2000,8/31/2001,Fall,3,,0.5,78
Battle Clear,Battle Clear Site,21000,2001-2002,12/1/2001,8/31/2002,Fall,3,,0.5,79
